Usage_time,Battery,Temp1,Temp2,Temp3,LFoot_x,LFoot_y,LFoot_z,RFoot_x,RFoot_y,RFoot_z,LFootCOP_x,LFootCOP_y,RFootCOP_x,RFootCOP_y,LFootCOP_value,LFootCOP_vector_x,LFootCOP_vector_y,RFootCOP_value,RFootCOP_vector_x,RFootCOP_vector_y,LFoot_time_travel,RFoot_time_travel,LH_Abd_Temp,LH_Rot_Temp,LH_Flex_Temp,LK_Temp,LA_Lat_Temp,LA_Med_Temp,RH_Abd_Temp,RH_Rot_Temp,RH_Flex_Temp,RK_Temp,RA_Lat_Temp,RA_Med_Temp,LH_Abd_Amp,LH_Rot_Amp,LH_Flex_Amp,LK_Amp,LA_Lat_Amp,LA_Med_Amp,RH_Abd_Amp,RH_Rot_Amp,RH_Flex_Amp,RK_Amp,RA_Lat_Amp,RA_Med_Amp
00:00:09:278,95,19.0,14.0,98.0,17500.0,0.0,0.0,17600.0,0.0,0.0,79.0,-67.0,-45.0,31.0,28.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:331,95,19.0,14.0,98.0,17700.0,0.0,0.0,17600.0,0.0,0.0,79.0,-67.0,143.0,38.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:383,95,19.0,14.0,98.0,17700.0,0.0,0.0,17800.0,0.0,0.0,98.0,0.0,143.0,38.0,14.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:435,95,19.0,14.0,98.0,17900.0,0.0,0.0,17800.0,0.0,0.0,98.0,0.0,25.0,79.0,0.0,30.0,30.0,11.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:486,95,19.0,14.0,98.0,17900.0,0.0,0.0,18000.0,0.0,0.0,113.0,51.0,25.0,79.0,23.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:537,95,19.0,14.0,98.0,18100.0,0.0,0.0,18000.0,0.0,0.0,113.0,51.0,124.0,60.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,31.0,45.0,4.0,97.0,87.0,91.0,74.0,19.0,88.0,95.0,7.0,91.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:554,95,70.0,26.0,61.0,18100.0,0.0,0.0,18000.0,0.0,0.0,113.0,51.0,124.0,60.0,0.0,30.0,30.0,27.0,30.0,-30.0,3.0,3.0,66.0,70.0,68.0,79.0,28.0,31.0,92.0,14.0,39.0,56.0,49.0,5.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:605,95,70.0,26.0,61.0,18100.0,0.0,0.0,18200.0,0.0,0.0,95.0,74.0,124.0,60.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,66.0,70.0,68.0,79.0,28.0,31.0,92.0,14.0,39.0,56.0,49.0,5.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:645,95,70.0,26.0,61.0,18300.0,0.0,0.0,18200.0,0.0,0.0,95.0,74.0,132.0,-41.0,0.0,30.0,30.0,25.0,30.0,-30.0,3.0,3.0,66.0,70.0,68.0,79.0,28.0,31.0,92.0,14.0,39.0,56.0,49.0,5.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:697,95,70.0,26.0,61.0,18300.0,0.0,0.0,18400.0,0.0,0.0,-66.0,-12.0,132.0,-41.0,28.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,66.0,70.0,68.0,79.0,28.0,31.0,92.0,14.0,39.0,56.0,49.0,5.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:749,95,70.0,26.0,61.0,18500.0,0.0,0.0,18400.0,0.0,0.0,-66.0,-12.0,-76.0,-57.0,0.0,30.0,30.0,25.0,30.0,-30.0,3.0,3.0,66.0,70.0,68.0,79.0,28.0,31.0,92.0,14.0,39.0,56.0,49.0,5.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
00:00:09:800,95,70.0,26.0,61.0,18500.0,0.0,0.0,18600.0,0.0,0.0,-49.0,-24.0,-76.0,-57.0,17.0,30.0,30.0,0.0,30.0,-30.0,3.0,3.0,66.0,70.0,68.0,79.0,28.0,31.0,92.0,14.0,39.0,56.0,49.0,5.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0
